Year,Type,Amount
2019,Nuclear,26.6
2019,Wind,12.8
2019,Gas,19.8
2019,Coal,15.7
2019,Hydro,11.1
2019,Other,9.7
2019,Solar,4.3
2020,Nuclear,24.8
2020,Wind,14.4
2020,Gas,20.3
2020,Coal,12.8
2020,Hydro,12.6
2020,Other,9.7
2020,Solar,5.3
2021,Nuclear,25.4
2021,Wind,13.5
2021,Gas,19
2021,Coal,14.6
2021,Hydro,12.1
2021,Other,9.7
2021,Solar,5.7
2022,Nuclear,21.9
2022,Wind,15.1
2022,Gas,19.3
2022,Coal,16.2
2022,Hydro,10
2022,Other,10
2022,Solar,7.6
2023,Nuclear,22.9
2023,Wind,17.6
2023,Gas,16.8
2023,Coal,12.3
2023,Hydro,11.8
2023,Other,9.4
2023,Solar,9.1
